学号		 姓名 	   性别	 出生年月	籍贯		电话		入学成绩
20220100 吴涛 男 2002年2月 湖北省荆州 168231245 510
20220101 刘敏 女 2002年11月 湖北省荆州 168461120 478
20220102 王元 女 2002年3月 湖北省荆州 168125894 450
20220103 姚晨 男 2002年5月 湖北省荆州 168795648 502
20220104 李辉 男 2002年7月 湖北省荆州 136597854 460
20220105 灵梦 女 2001年9月 湖北省荆州 153486463 666
20220106 符华 女 2002年8月 湖北省荆州 168463684 703
20220107 士道 男 2002年7月 湖北省荆州 164631359 500
20220108 夜吹 男 2002年1月 湖北省荆州 156415648 496
20220109 吴涛 男 2002年6月 湖北省荆州 165464684 430
20220110 张三 男 2022年4月 福建省龙岩 131106106 450
20220112 奇凡 男 2002年8月 福建省龙岩 18559713912 666
